COUNTY,SCENARIO,AREA,YEAR,TECHNOLOGY,VALUE
Nyandarua,Baseline,Urban,2033,Charcoal ICS,35
Nyandarua,Baseline,Urban,2033,EPC,3
Nyandarua,Baseline,Urban,2033,Electric Stove (coil/induction),5
Nyandarua,Baseline,Urban,2033,Gasifier Stove,10
Nyandarua,Baseline,Urban,2033,LPG Meko,60
Nyandarua,Baseline,Urban,2033,LPG Stove,20
Nyandarua,Baseline,Urban,2033,Metallic Charcoal stove,25
Nyandarua,Baseline,Urban,2033,TSOF,15
Nyandarua,Baseline,Urban,2033,Wood ICS,30
Nyandarua,Policy,Rural,2023,Biogas,0.3
Nyandarua,Policy,Rural,2023,Charcoal ICS,29
Nyandarua,Policy,Rural,2023,Kerosene,9
Nyandarua,Policy,Rural,2023,LPG Meko,38
Nyandarua,Policy,Rural,2023,LPG Stove,7
Nyandarua,Policy,Rural,2023,Metallic Charcoal stove,29
Nyandarua,Policy,Rural,2023,TSOF,73
Nyandarua,Policy,Rural,2023,Wood ICS,11
Nyandarua,Policy,Rural,2028,Bio-Ethanol,2
Nyandarua,Policy,Rural,2028,Biogas,0.4
Nyandarua,Policy,Rural,2028,Charcoal ICS,35
Nyandarua,Policy,Rural,2028,EPC,1
Nyandarua,Policy,Rural,2028,Electric (coil/induction),1
Nyandarua,Policy,Rural,2028,Gasifier Stove,15
Nyandarua,Policy,Rural,2028,Kerosene,4
Nyandarua,Policy,Rural,2028,LPG Meko,45
Nyandarua,Policy,Rural,2028,LPG Stove,10
Nyandarua,Policy,Rural,2028,Metallic Charcoal stove,10
Nyandarua,Policy,Rural,2028,TSOF,30
Nyandarua,Policy,Rural,2028,Wood ICS,50
Nyandarua,Policy,Rural,2033,Bio-Ethanol,5
Nyandarua,Policy,Rural,2033,Biogas,0.5
Nyandarua,Policy,Rural,2033,Charcoal ICS,40
Nyandarua,Policy,Rural,2033,EPC,2
Nyandarua,Policy,Rural,2033,Electric (coil/induction),2
Nyandarua,Policy,Rural,2033,Gasifier Stove,20
Nyandarua,Policy,Rural,2033,Kerosene,0
Nyandarua,Policy,Rural,2033,LPG Meko,55
Nyandarua,Policy,Rural,2033,LPG Stove,12
Nyandarua,Policy,Rural,2033,Metallic Charcoal stove,5
Nyandarua,Policy,Rural,2033,TSOF,5
Nyandarua,Policy,Rural,2033,Wood ICS,50
Nyandarua,Policy,Urban,2023,Charcoal ICS,30
Nyandarua,Policy,Urban,2023,Electric (coil/induction),2
Nyandarua,Policy,Urban,2023,Kerosene,1
Nyandarua,Policy,Urban,2023,LPG Meko,50
Nyandarua,Policy,Urban,2023,LPG Stove,9
Nyandarua,Policy,Urban,2023,Metallic Charcoal stove,50
Nyandarua,Policy,Urban,2023,TSOF,65
Nyandarua,Policy,Urban,2023,Wood ICS,7
Nyandarua,Policy,Urban,2028,Bio-Ethanol,4
Nyandarua,Policy,Urban,2028,Charcoal ICS,25
Nyandarua,Policy,Urban,2028,EPC,4
Nyandarua,Policy,Urban,2028,Electric (coil/induction),4
Nyandarua,Policy,Urban,2028,Gasifier Stove,16
Nyandarua,Policy,Urban,2028,Kerosene,2
Nyandarua,Policy,Urban,2028,LPG Meko,60
Nyandarua,Policy,Urban,2028,LPG Stove,15
Nyandarua,Policy,Urban,2028,Metallic Charcoal stove,20
Nyandarua,Policy,Urban,2028,TSOF,25
Nyandarua,Policy,Urban,2028,Wood ICS,40
Nyandarua,Policy,Urban,2033,Bio-Ethanol,15
Nyandarua,Policy,Urban,2033,Charcoal ICS,20
Nyandarua,Policy,Urban,2033,EPC,6
Nyandarua,Policy,Urban,2033,Electric (coil/induction),6
Nyandarua,Policy,Urban,2033,Gasifier Stove,20
Nyandarua,Policy,Urban,2033,LPG Meko,70
Nyandarua,Policy,Urban,2033,LPG Stove,25
Nyandarua,Policy,Urban,2033,Metallic Charcoal stove,5
Nyandarua,Policy,Urban,2033,Wood ICS,50
Nyandarua,SDG,Rural,2023,Biogas,0.3
Nyandarua,SDG,Rural,2023,Charcoal ICS,29
Nyandarua,SDG,Rural,2023,Kerosene,9
Nyandarua,SDG,Rural,2023,LPG Meko,38
Nyandarua,SDG,Rural,2023,LPG Stove,7
Nyandarua,SDG,Rural,2023,Metallic Charcoal stove,29
Nyandarua,SDG,Rural,2023,TSOF,73
Nyandarua,SDG,Rural,2023,Wood ICS,11
Nyandarua,SDG,Rural,2028,Bio-Ethanol,5
Nyandarua,SDG,Rural,2028,Biogas,0.7
Nyandarua,SDG,Rural,2028,EPC,2
Nyandarua,SDG,Rural,2028,Electric (coil/induction),2
Nyandarua,SDG,Rural,2028,Gasifier Stove,40
Nyandarua,SDG,Rural,2028,LPG Meko,70
Nyandarua,SDG,Rural,2028,LPG Stove,30
Nyandarua,SDG,Rural,2028,Wood ICS,30
Nyandarua,SDG,Rural,2033,Bio-Ethanol,10
Nyandarua,SDG,Rural,2033,Biogas,1
Nyandarua,SDG,Rural,2033,EPC,5
Nyandarua,SDG,Rural,2033,Electric (coil/induction),5
Nyandarua,SDG,Rural,2033,Gasifier Stove,50
Nyandarua,SDG,Rural,2033,LPG Meko,60
Nyandarua,SDG,Rural,2033,LPG Stove,30
Nyandarua,SDG,Rural,2033,Wood ICS,25
Nyandarua,SDG,Urban,2023,Charcoal ICS,30
Nyandarua,SDG,Urban,2023,Electric (coil/induction),2
Nyandarua,SDG,Urban,2023,Kerosene,1
Nyandarua,SDG,Urban,2023,LPG Meko,50
Nyandarua,SDG,Urban,2023,LPG Stove,9
Nyandarua,SDG,Urban,2023,Metallic Charcoal stove,50
Nyandarua,SDG,Urban,2023,TSOF,65
Nyandarua,SDG,Urban,2023,Wood ICS,7
Nyandarua,SDG,Urban,2028,Bio-Ethanol,20
Nyandarua,SDG,Urban,2028,EPC,5
Nyandarua,SDG,Urban,2028,Electric (coil/induction),5
Nyandarua,SDG,Urban,2028,Gasifier Stove,25
Nyandarua,SDG,Urban,2028,LPG Meko,60
Nyandarua,SDG,Urban,2028,LPG Stove,40
Nyandarua,SDG,Urban,2033,Bio-Ethanol,25
Nyandarua,SDG,Urban,2033,EPC,10
Nyandarua,SDG,Urban,2033,Electric (coil/induction),10
Nyandarua,SDG,Urban,2033,Gasifier Stove,50
Nyandarua,SDG,Urban,2033,LPG Meko,50
Nyandarua,SDG,Urban,2033,LPG Stove,50
